Page,Title,Price,Location,Address,Description,Bedrooms,Bathrooms,Parking,Floor_Size_m2,URL,Region
2,4 Bedroom House,10800000,Bilene Central,,"Builder's Dream: Luxury Residence With Lagoon View Awaits Completion

Project Summary:

We",4.0,2.0,4.0,1 500 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-bilene-central-115530702,South
2,4 Bedroom House,15000000,Bilene Central,"716 Bairri Nhiuane, Bilene Central, Bilene",This beautiful property has 4 bedrooms fully furnished located in bilene is ideal for,4.0,2.0,4.0,1 200 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-bilene-central-112406419,South
3,4 Bedroom House,1150000,Bilene Central,"Bilene, Bilene Central, Bilene","1200 m2 piece of land in Bilene, wich contains:
- An unfinished 1 floor house with 4",4.0,4.0,4.0,1 200 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-bilene-central-111246085,South
3,4 Bedroom House,9750000,Bilene Central,"Bilene, Bilene Central, Bilene","This amazing property located in the heart of Bilene, is a dream family home for those much",4.0,3.0,4.0,1 111 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-bilene-central-112141322,South
1,3 Bedroom House,6200000,Praia do Tofo,"5GFP+54W Tofo Beach, Praia do Tofo, Inhambane City","Entertainers dream home with large kitchen, modern finishes, spacious garden and much more.",3.0,2.0,1.0,200 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-117095814,South
1,2 Bedroom House,6000000,Praia da Barra,"6G48+HC3 Miramar, Praia da Barra, Inhambane City",This is a rare chance to secure two side-by-side beachfront properties in the heart of,2.0,2.0,4.0,120 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-da-barra-117102058,
1,2 Bedroom House,4100000,Dongane,"Dongane - Legogo Rd Inhambane, Dongane, Inhambane City","Unique Multi-Property Investment Opportunity — Inhambane, Mozambique_x000D_
_x000D_
This is one of the",2.0,2.0,2.0,200 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-dongane-117101666,North
1,5 Bedroom House,12800000,Praia do Tofo,"5G3Q+WRG Tofo Beach, Praia do Tofo, Inhambane City","Beautiful Tofo Property for Sale with Beach Access_x000D_
_x000D_
This newly listed property on Tofo’s",5.0,3.0,4.0,220 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-praia-do-tofo-117101543,South
1,3 Bedroom House,10900000,Tofinho,"4GQX+9Q9 Tofo Beach, Tofinho, Inhambane City","Sea View Villa for Sale in Tofo, Mozambique_x000D_
_x000D_
Located in one of Inhambane’s most beautiful",3.0,3.5,4.0,225 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-tofinho-117101614,North
1,3 Bedroom House,7600000,Praia da Barra,"5GW8+VFP Miramar, Praia da Barra, Inhambane City","Land size: 1 hectare (10,000 m²)_x000D_
Main features:_x000D_
Views: 360-degree views of Inhambane",3.0,2.0,2.0,500 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-da-barra-117095679,
1,3 Bedroom House,11500000,Praia do Tofo,"1 Casa Barry Road, Praia do Tofo, Inhambane City",This stunning 3 bedroom comes fully equipped and ready to move in to. It is located in,3.0,4.0,4.0,600 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-116796037,South
1,3 Bedroom House,7660000,Praia da Barra,"Barra Beach Miramar, Praia da Barra, Inhambane City",If you’ve been dreaming of waking up to the sound of the waves and stepping straight onto,3.0,3.0,2.0,220 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-da-barra-116476848,
1,1 Bedroom House,2800000,Praia do Tofo,"4HQ2+82H Tofo Beach, Praia do Tofo, Inhambane City","Tucked away in one of Tofo’s most peaceful neighbourhoods, this 50m² open-plan home is a",1.0,1.0,4.0,70 m²,https://www.property24.co.mz/1-bedroom-house-for-sale-in-praia-do-tofo-116144487,South
1,2 Bedroom House,8250000,Praia da Barra,"Inhambane Miramar, Praia da Barra, Inhambane City","Set right on the sands of Praia da Barra, this beautiful double-story home in the",2.0,2.5,2.0,125 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-da-barra-116144506,
1,3 Bedroom House,7600000,Praia da Barra,"5GW8+VFP Miramar, Praia da Barra, Inhambane City","Land size: 1 hectare (10,000 m²)_x000D_
Main features:_x000D_
Views: 360-degree views of Inhambane",3.0,2.0,2.0,500 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-da-barra-116896677,
1,2 Bedroom House,1210000,Dongane,"P98J+J9 Xuxululo, Dongane, Inhambane City","Welcome to a unique and luxurious holiday home, nestled among lush dune forests and",2.0,1.0,4.0,80 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-dongane-113853716,North
1,2 Bedroom House,6900000,Praia dos Cocos,"1 Coconut Bay Rd, Praia dos Cocos, Inhambane City","Private Holiday home for sale in Coconut Bay, Guinjata. 

The main house is a 2 bedroom",2.0,1.0,10.0,0.4 ha,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-dos-cocos-115993051,North
1,3 Bedroom House,8000000,Praia do Tofo,"Praia Tofo Inhambane, Praia do Tofo, Inhambane City","Welcome to your dream home in Tofinho, a peaceful suburb of Tofo, Mozambique! This stunning",3.0,2.0,2.0,195 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-114969000,South
1,4 Bedroom House,2850000,Dongane,"P99G+C4F Xuxululo, Dongane, Inhambane City",Escape to paradise! This stunning lakeside property offers the ultimate getaway with its,4.0,3.0,1.0,160 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-dongane-113853618,North
1,4 Bedroom House,4000000,Dongane,"Dongane - Legogo Rd Jangamo, Dongane, Inhambane City","English Description First, Portuguese Description Below. _x000D_
_x000D_
Spectacular House, Very Well",4.0,3.0,4.0,140 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-dongane-113943721,North
2,3 Bedroom House,8500000,Inhambane City Central,"3GGG+V79 Inhambane, Inhambane City Central, Inhambane City",Feast your eyes on this immaculate Beachfront Villa for sale in Mozambique on the exclusive,3.0,3.0,2.0,180 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-inhambane-city-central-114543656,Central
2,3 Bedroom House,3000000,Praia do Tofo,"5GCP+7G Tofo Beach, Praia do Tofo, Inhambane City","Spacious Home in Mango Beach Estate, furniture included – 1 Min Walk to Beach &",3.0,1.0,1.0,120 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-115969779,South
2,3 Bedroom House,3000000,Praia do Tofo,"5GCP+Q53 Inhambane, Praia do Tofo, Inhambane City","Spacious Home in Mango Beach Estate, furniture included – 2 Min Walk to Beach &",3.0,1.0,1.0,120 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-115969776,South
2,4 Bedroom House,2000000,Praia da Barra,"5GW8+72 Miramar, Praia da Barra, Inhambane City","Located just off the main tar road to Barra, this property offers unbeatable accessibility",4.0,2.0,4.0,200 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-praia-da-barra-115827125,
2,2 Bedroom House,13000000,Praia do Tofo,"1  Tofinho, Praia do Tofo, Inhambane City","Coastal Cottage with Expansion Potential – Tofinho, Mozambique  
Price: $200,000 USD",2.0,1.0,4.0,9 600 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-do-tofo-116566750,South
2,5 Bedroom House,15000000,Praia da Barra,"1 Barra, Praia da Barra, Inhambane City","Situated at Praia da Barra, Sia Sente is a holiday development a mere 20-minute drive from",5.0,2.0,4.0,2 500 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-praia-da-barra-114901002,
2,5 Bedroom House,13500000,Praia da Barra,"1 Barra Beach, Praia da Barra, Inhambane City",This 5-bedroom cottage is on the beach at Barra near the Green Turtle at the Sia Sente,5.0,2.0,2.0,500 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-praia-da-barra-117009385,
2,5 Bedroom House,13500000,Praia da Barra,"1 Barra Beach, Praia da Barra, Inhambane City",This 5-bedroom cottage is on the beach at Barra near the Green Turtle at the Sia Sente,5.0,2.0,2.0,500 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-praia-da-barra-112763148,
2,6 Bedroom House,16612247,Praia do Tofo,"4HQ2+92J Tofo Beach, Praia do Tofo, Inhambane City","This 1/2 an acre exclusive beachfront plot, situated right on Tofinho Beach in Praia do",6.0,4.0,4.0,360 m²,https://www.property24.co.mz/6-bedroom-house-for-sale-in-praia-do-tofo-114736457,South
2,4 Bedroom House,29000000,Praia do Tofo,"1 Tofinho, Praia do Tofo, Inhambane City",Stunning 4-Suite Family Home in Tofinho – Prime Location with Breathtaking Sea Views,4.0,2.0,2.0,817 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-praia-do-tofo-116092088,South
2,2 Bedroom House,1500000,Inhambane City Central,"1 Kingfisher Lake Street, Inhambane City Central, Inhambane City","2 BEDROOM LAKESIDE HOUSE NEAR TO KINGFISHER LAKE SCHOOL, INHAMBANE

Composition: 
- 1 house",2.0,1.0,2.0,900 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-inhambane-city-central-115798132,Central
2,4 Bedroom House,12000000,Praia da Barra,"10 Farol Do Barra, Praia da Barra, Inhambane City",This beautiful family home has only recently been completed and it is ready for its new,4.0,1.0,2.0,250 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-praia-da-barra-113039885,
3,2 Bedroom House,1100000,Dongane,"1 Dongane Rd, Dongane, Inhambane City",Seize this once-in-a-lifetime opportunity to own a spacious Inhambane beachfront property,2.0,1.0,4.0,100 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-dongane-115327969,North
3,5 Bedroom House,18500000,Praia da Barra,"1 Beach Road, Praia da Barra, Inhambane City",This beautiful and elegant beach house is located right on the beach in Barra with a vast,5.0,1.0,6.0,2 570 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-praia-da-barra-111857202,
3,6 Bedroom House,6000000,Praia da Barra,"1 Rua Do Farol, Praia da Barra, Inhambane City","This beautiful and sizeable 6-bedroom house has all of the features of your main home, it",6.0,2.0,2.0,921 m²,https://www.property24.co.mz/6-bedroom-house-for-sale-in-praia-da-barra-112214151,
3,4 Bedroom House,10300000,Praia da Barra,"Beach Road, Praia da Barra, Inhambane City","This property has absolutely stunning views of the bay at Barra, it is located just away",4.0,3.0,2.0,2 312 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-praia-da-barra-111228581,
3,2 Bedroom House,4000000,Praia do Tofo,"1 Rua Das Sigomas Tofinho, Praia do Tofo, Inhambane City","The beautiful, traditional home is ideally located in Tofinho on Rua Das Sigomas, just a",2.0,2.0,4.0,2 500 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-do-tofo-113907707,South
3,2 Bedroom House,1200000,Dongane,"1 Dongane Beach Road, Dongane, Inhambane City",Seize this once-in-a-lifetime opportunity to own a spacious Inhambane beachfront property,2.0,1.0,1.0,200 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-dongane-115484332,North
3,3 Bedroom House,5500000,Praia da Barra,"1 Barra, Praia da Barra, Inhambane City","This unit comprises 15 plots, designed to provide everyone with unrestricted sea views over",3.0,1.0,4.0,250 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-da-barra-112975745,
3,4 Bedroom House,3200000,Dongane,"1 Dongane Road, Dongane, Inhambane City",This exceptional 8-sleeper holiday house is located on the Vista Marlargo Estate at,4.0,2.0,4.0,2 500 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-dongane-115478845,North
3,3 Bedroom House,5000000,Praia da Barra,"Lighthouse Road, Praia da Barra, Inhambane City","This property is the first of an intended 6 properties on the site of 4,000m2. It is to be",3.0,1.0,4.0,450 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-da-barra-111233636,
3,3 Bedroom House,14000000,Praia do Tofo,"1 Tofo, Praia do Tofo, Inhambane City","This beautiful little garden cottage is located in the heart of Tofo, right on the doorstep",3.0,1.0,4.0,2 500 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-114557754,South
3,1 Bedroom House,3500000,Praia do Tofo,"1 Tofinho Street, Praia do Tofo, Inhambane City",Welcome to your dream beach escape! This affordable one-bedroom residence in the heart of,1.0,3.0,4.0,100 m²,https://www.property24.co.mz/1-bedroom-house-for-sale-in-praia-do-tofo-112825801,South
3,5 Bedroom House,10000000,Praia da Barra,"1 Barra Beach Road, Praia da Barra, Inhambane City","2 x Beach cottages on Fair Winds Estate

?	The newly thatched cottages are part of a small",5.0,2.0,4.0,500 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-praia-da-barra-115034803,
3,4 Bedroom House,6500000,Praia do Tofo,"1 Tofinho South Road, Praia do Tofo, Inhambane City","This family house is made up of 2 buildings; the main house has a veranda, an open plan",4.0,2.0,4.0,1 050 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-praia-do-tofo-111337492,South
3,2 Bedroom House,4000000,Praia do Tofo,"1 Tofinho, Praia do Tofo, Inhambane City",This property is in good condition and ready to welcome its new family. It is a small,2.0,1.0,5.0,600 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-do-tofo-114440358,South
3,2 Bedroom House,3850000,Praia do Tofo,"1 Tofinho, Praia do Tofo, Inhambane City",Casa de Boa Vida is a stilt-style house built on poles with a wraparound porch. It is very,2.0,2.0,4.0,750 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-do-tofo-115051107,South
4,2 Bedroom House,5500000,Praia da Barra,"Barra Beach Road, Praia da Barra, Inhambane City","Beach cottage right on the seashore
	

?	The newly thatched cottage is part of a small",2.0,3.0,4.0,250 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-da-barra-111277773,
4,4 Bedroom House,4500000,Dongane,"1 Dongane Beach Road, Dongane, Inhambane City","This stunning ECO property is located on the Paraiso De Dongane Estate in Inhambane, it is",4.0,3.0,3.0,800 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-dongane-112202719,North
4,3 Bedroom House,21000000,Praia do Tofo,"4HJ3+G6H Tofo Beach, Praia do Tofo, Inhambane City","Perched on a hill above legendary Tofinho Point, this coastal retreat offers breathtaking",3.0,3.0,4.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-116638251,South
4,2 Bedroom House,4750000,Praia do Tofo,"4GHX+MR3 Tofo Beach, Praia do Tofo, Inhambane City","Perched alone on a dune with a wide ocean view to the East, hills with palm groves to the",2.0,1.0,4.0,1 375 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-do-tofo-111522181,South
4,5 Bedroom House,14000000,Praia do Tofo,"242 Av Josina Machel, Praia do Tofo, Inhambane City","This large family home is located on the way in to Tofo from the junction with Barra, just",5.0,1.0,4.0,2 500 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-praia-do-tofo-111292440,South
4,3 Bedroom House,12000000,Praia do Tofo,"1 Back Door Beach, Praia do Tofo, Inhambane City","Welcome to your dream home in Tofinho, a peaceful suburb of Tofo, Mozambique! This stunning",3.0,1.0,2.0,800 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-115414339,South
4,3 Bedroom House,4200000,Praia do Tofo,"4GJW+XX Tofo Beach, Praia do Tofo, Inhambane City","This charming house offers a tranquil setting only 1km from Tofinho Beach. Fully completed,",3.0,3.0,4.0,144 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-111500364,South
4,3 Bedroom House,13500000,Praia do Tofo,"4GPW+7V6 Tofo Beach, Praia do Tofo, Inhambane City",Spacious and solid 3 bedroom house for sale close to beach located in a quiet area in,3.0,3.0,4.0,200 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-111500355,South
4,2 Bedroom House,1500000,Praia da Barra,"1 Barra, Praia da Barra, Inhambane City",This little 2 bedroom cottage has everything you need for your getaway to the coast. It is,2.0,3.0,4.0,1 200 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-da-barra-114444021,
4,4 Bedroom House,7000000,Praia da Barra,,? The newly thatched cottage is part of a small established complex that has 6 houses in,4.0,1.0,5.0,250 m²,https://www.property24.co.mz/4-bedroom-house-for-sale-in-praia-da-barra-114430730,
4,3 Bedroom House,3500000,Inhambane City Central,"1 Inhambane, Inhambane City Central, Inhambane City",3-bedroom cottage in Inhambane City in a well-respected family área. It's a family home,3.0,1.0,4.0,2 500 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-inhambane-city-central-113506477,Central
4,3 Bedroom House,15000000,Inhambane City Central,"826 Av Revolucao, Inhambane City Central, Inhambane City",This beautiful traditional family home is available to the market in the heart of Inhambane,3.0,1.0,3.0,1 050 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-inhambane-city-central-113307401,Central
4,6 Bedroom House,12900000,Praia do Tofo,"Beach Road, Praia do Tofo, Inhambane City","This very new property comes to the market with 6 double, air conditioned bedrooms, 3",6.0,2.0,4.0,1 236 m²,https://www.property24.co.mz/6-bedroom-house-for-sale-in-praia-do-tofo-111041323,South
4,5 Bedroom House,14000000,Praia do Tofo,"242 Av Josina Machel, Praia do Tofo, Inhambane City","This large family home is located on the way in to Tofo from the junction with Barra, just",5.0,1.0,4.0,2 500 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-praia-do-tofo-116881284,South
5,3 Bedroom House,12000000,Praia do Tofo,"1 Tofo Street, Praia do Tofo, Inhambane City","This beautiful holiday home is located on the Driftwood Estate in Tofo, a small and",3.0,1.0,4.0,376 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-do-tofo-114015633,South
5,2 Bedroom House,1500000,Dongane,"1 Dongane Rd, Dongane, Inhambane City",Seize this once-in-a-lifetime opportunity to own a spacious Inhambane beachfront property,2.0,1.0,2.0,100 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-dongane-112413394,North
5,3 Bedroom House,5500000,Praia da Barra,,This 3 bedroom cottage is located on the beach within a small condominium that contains 6,3.0,1.0,4.0,1 000 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-praia-da-barra-111228211,
5,2 Bedroom House,720000,Dongane,"1 Dongane Beach Road, Dongane, Inhambane City",Seize this once-in-a-lifetime opportunity to own a spacious Inhambane beachfront property,2.0,1.0,4.0,100 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-dongane-116867582,North
5,2 Bedroom House,5500000,Praia da Barra,,? The newly thatched cottage is part of a small established complex that has 6 houses in,2.0,3.0,4.0,2 509 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-da-barra-115968833,
5,5 Bedroom House,19200000,Praia do Tofo,,"21km south of Inhambane airport and 500km from Maputo, on the Tofinho peninsula.  This",5.0,5.0,4.0,2 000 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-praia-do-tofo-111292424,South
5,2 Bedroom House,9500000,Praia do Tofo,,We are pleased to offer you this superb sea view house with spectacular breathtaking sea,2.0,2.0,4.0,470 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-do-tofo-111500348,South
5,2 Bedroom House,6000000,Praia do Tofo,,Set within Tofo central area and 100 meters walking distance to the beach we offer for sale,2.0,1.0,4.0,,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-do-tofo-111505679,South
5,2 Bedroom House,720000,Dongane,"1 Dongane Beach Road, Dongane, Inhambane City",Seize this once-in-a-lifetime opportunity to own a spacious Inhambane beachfront property,2.0,1.0,4.0,100 m²,https://www.property24.co.mz/2-bedroom-house-for-sale-in-dongane-111956191,North
5,2 Bedroom House,6500000,Praia do Tofo,,Owners have reluctantly decided to sell  piece of paradise between Tofo and Barra.  Indeed,2.0,3.0,4.0,,https://www.property24.co.mz/2-bedroom-house-for-sale-in-praia-do-tofo-111292425,South
1,5 Bedroom House,13000000,Marracuene,"6JHP+FX Marracuene, Marracuene, Marracuene","Vende-se excelente e magnífica moradia tipo 5_x000D_
_x000D_
Em Marracuene Facim_x000D_
_x000D_
 *R/c:* _x000D_
1 sala",5.0,5.0,5.0,2 m²,https://www.property24.co.mz/5-bedroom-house-for-sale-in-marracuene-114979807,South
1,3 Bedroom Apartment / Flat,10500000,Matola Central,"4CCQ+2P Jamo, Matola Central, Matola","Luxury 3 bedroom villa, located in Matola Malhampsene, just a few meters from the EN4,",3.0,6.0,6.0,,https://www.property24.co.mz/3-bedroom-apartment-flat-for-sale-in-matola-central-117057500,South
1,4 Bedroom House,13800000,Matola Central,"X9MW+XJ Belo Horizonte, Matola Central, Matola","4 bedroom house for sale in Belo Horizonte, close to wunitive ( isteg ) in a quiet and safe",4.0,6.0,10.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-117066454,South
1,3 Bedroom House,65000000,Matola Central,"660 Avenida Jose Craveirinha, Matola Central, Matola","Situated in a prime and secure area of Matola City, this expansive property offers a rare",3.0,3.0,5.0,8 195 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-117102151,South
1,3 Bedroom Townhouse,10500000,Matola Central,"4C9Q+GWV Maputo, Matola Central, Matola","Luxury 3 bedroom villa, located in Matola Malhampsene, just a few meters from the EN4,",3.0,6.0,6.0,,https://www.property24.co.mz/3-bedroom-townhouse-for-sale-in-matola-central-117057518,South
1,3 Bedroom House,10500000,Matola Central,"4CCQ+64F Matola, Matola Central, Matola","Luxury 3 bedroom villa, located in Matola Malhampsene, just a few meters from the EN4,",3.0,6.0,6.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-117057486,South
1,3 Bedroom House,10500000,Matola Central,"4CCQ+64F Matola, Matola Central, Matola","Luxury 3 bedroom villa, located in Matola Malhampsene, just a few meters from the EN4,",3.0,6.0,6.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-117057479,South
1,3 Bedroom House,13800000,Matola Central,"Maputo, Matola Central, Matola","Excellent Type 3 villa available for sale in Condomínio Esperança, located in Matola",3.0,6.0,8.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-117044637,South
1,4 Bedroom House,13800000,Matola Central,"X9MW+XJ Belo Horizonte, Matola Central, Matola","4 bedroom house for sale in Belo Horizonte, close to wunitive ( isteg ) in a quiet and safe",4.0,6.0,10.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-116991185,South
1,3 Bedroom House,10000000,Matola Central,"3CHR+HRF Matola, Matola Central, Matola","3 bedroom house for sale in Matola close to wbho._x000D_
_x000D_
PROPERTY HIGHLIGHTS_x000D_
_x000D_
- 3 bedrooms (2",3.0,5.0,10.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-116991987,South
1,4 Bedroom House,17000000,Matola Central,"Matola Central, Matola","Moradia T4 no condomínio Saphira na Matola _x000D_
Vende-se excelente moradia na matola próximo",4.0,5.0,2.0,,https://www.property24.co.mz/4-bedroom-house-for-sale-in-matola-central-117100777,South
1,3 Bedroom House,10000000,Matola Central,"Matola Rio, Matola Central, Matola","Property consists of:

Inside area - Main bedroom with a walk-in closet, built in cupboards",3.0,3.0,4.0,500 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-117000738,South
1,3 Bedroom House,7500000,Matola Central,"1 Rua Peixe de Mama, Matola Central, Matola",Are you looking for a property that has the opportunity for potential rental income? Look,3.0,1.0,6.0,1 200 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-116977265,South
1,3 Bedroom House,5050000,Matola Central,"91 Rua de Mutateia, Matola Central, Matola","Well-located property, situated  behind Corner Mall 
3 bedrooms,1 bathroom, big kitchen,",3.0,1.0,4.0,500 m²,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-116978960,South
1,3 Bedroom House,10500000,Matola Central,"Matola Central, Matola","Luxury 3 bedroom villa for sale in Cidade da Matola Malhampsene, just a few meters from the",3.0,3.0,4.0,,https://www.property24.co.mz/3-bedroom-house-for-sale-in-matola-central-116981464,South
